iteration	utc_time	hypothesis	change	status	hard_penetration_max_m	sole_penetration_max_m	completions	total_scenarios	freeze_seconds_max	stance_slide_max_m	score	artifact
10	2026-08-04T00:00:00Z	motion_endpoint_routes_differ_from_whole_mesh_profiles	motion_conditioned_support_route_ranking	keep_coverage_gain	NA	0.003775343	4	12	NA	NA	4/12	artifacts/coherent_warp_coverage/heldout12_route_v2
11	2026-08-04T00:20:17Z	whole_route_coverage_is_hidden_deeper_in_the_500_clip_bank	route_ranked_candidate_limit_50	discard_no_gain	NA	0.003775343	4	12	NA	NA	4/12	artifacts/coherent_warp_coverage/heldout12_route50_v3
12	2026-08-04T00:38:16Z	whole_traversals_hide_reusable_authored_subroutes	source_contiguous_blocks_up_to_four_transitions	keep_block_coverage_gain	0.004360383	NA	11	12	NA	NA	11/12	artifacts/coherent_block_coverage/heldout12_blocks_v2
13	2026-08-04T00:54:53Z	phase_pooling_and_exact_visual_clearance_make_long_blocks_composable	four_exact_phases_plus_smooth_clearance_and_critical_seams	keep_exact_composition_gain	0.0	0.004998214	10	12	0.0	NA	10/12_direct_12/12_hierarchy	artifacts/coherent_block_composition/heldout12_phasepool_clearance_v3
14	2026-08-04T01:33:18Z	coherent_blocks_generalize_beyond_the_development_geometries	disjoint_geometry50_plus_failure_only_depth128	keep_broad_generalization_then_fallback	0.0	0.004978359	40	50	0.0	NA	40/50_direct_40/48_retrievable	artifacts/coherent_block_validation/geometry50_aggregate_deep_v2.json
15	2026-08-04T02:47:37Z	coherent_blocks_plus_compact_risers_cover_broad_geometry	bounded_clearance_consistent_hierarchy_plus_source_ceiling	keep_terrain_hierarchy	0.0	0.004978359	47	50	0.0	NA	47/50_heldout_49/50_source_covered	artifacts/coherent_block_validation/geometry50_hierarchy_aggregate_v1.json
16	2026-08-05T16:35:00Z	arbitrary_oblique_lines_can_directly_reuse_current_ramp_bank	three_leg_oblique_S_route	discard_unsupported_oblique_ramp	NA	NA	0	1	NA	NA	0/1_timeout	artifacts/generic_terrain/waypoint_routes/canary_s_left_v1
17	2026-08-05T16:41:00Z	portal_aligned_terrain_legs_plus_arbitrary_flat_curves_are_supported	dense_per_leg_generation_with_resume	discard_runtime_budget_failure	NA	NA	0	1	NA	NA	partial_slope_only_timeout	artifacts/generic_terrain/waypoint_routes/canary_portal_aligned_s_v2
18	2026-08-05T16:58:50Z	route_equivalent_accepted_primitives_can_be_rigidly_instanced	coarse_height_signature_cache_plus_resumable_waypoint_compiler	keep_route_and_portal_gain	0.0	0.002779361	2	2	0.0	NA	2/2_portals_10.76m_polyline	artifacts/generic_terrain/waypoint_routes/canary_portal_aligned_s_v2/portals_v1/portal_manifest.json
19	2026-08-05T17:20:00Z	live_waypoint_feedback_can_connect_heldout_portals	capture_disk_forward_nudge_plus_committed_terrain_playback	keep_live_steering_gain	0.0	0.002779361	2	2	0.0	NA	2/2_portals_2.95cm_path_rmse	artifacts/generic_terrain/waypoint_routes/canary_portal_aligned_s_v2/live_rollout_seed17_v4_forward_nudge
20	2026-08-05T17:32:39Z	preserving_exit_tangent_or_changing_exit_mode_removes_reacquisition_crouch	tangent_resume_then_walk_mode_hysteresis	discard_no_visual_gain	0.0	0.002779361	2	2	0.0	NA	2/2_but_5.38cm_path_rmse_and_crouch_remains	artifacts/generic_terrain/waypoint_routes/canary_portal_aligned_s_v2/live_rollout_seed17_v6_exit_mode_hysteresis
21	2026-08-05T18:05:37Z	elevated_world_z_is_out_of_distribution_for_flat_motionbricks_continuation	normalize_context_to_local_support_height_and_restore_generated_root_once	keep_exit_seam_gain	0.0	0.002779361	2	2	0.0	NA	2/2_portals_1.56cm_max_exit_drop	artifacts/generic_terrain/waypoint_routes/canary_portal_aligned_s_v2/live_rollout_seed17_v9_support_once_move
22	2026-08-05T21:15:00Z	entry_only_portals_plus_phase_matched_live_exits_scale_to_mixed_terrain	discard_conditioning_replay_and_project_live_root_to_exact_sole_support	keep_five_event_live_terrain_gain	0.0	0.004209060	5	5	0.0	NA	5/5_portals_4.24cm_path_rmse	artifacts/generic_terrain/waypoint_routes/mixed_gauntlet_v1/live_rollout_seed17_v8_exact_clearance
